"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"taxonomicStatus";"taxonRank"
9201;"Cytisus commutatus";"Cytisus commutatus";"(Willk.) Briq.";"Cytisus commutatus";"(Willk.) Briq.";"Accepted";"species"
9481;"Cytisus commutatus";"Cytisus commutatus";"(Willk.) Briq.";"Cytisus commutatus";"(Willk.) Briq.";"Accepted";"species"
9074;"Cytisus fontanesii subsp. fontanesii";"Cytisus fontanesii fontanesii";"Spach in Bourg.";"Cytisus fontanesii";"Spach ex Ball";"Accepted";"species"
1188;"Cytisus grandiflorus";"Cytisus grandiflorus";"(Brot.) DC.";"Cytisus grandiflorus";"DC.";"Accepted";"species"
1168;"Cytisus malacifitanus";"Cytisus malacifitanus";;"Cytisus malacitanus";"Boiss.";"Accepted";"species"
3167;"Cytisus multiflorus";"Cytisus multiflorus";"(L´Hér.) Sweet";"Cytisus multiflorus";"Sweet";"Accepted";"species"
4167;"Cytisus oromediterraneus";"Cytisus oromediterraneus";"Rivas Mart. & al.";"Cytisus oromediterraneus";"Rivas Mart., T.E.Díaz, Fern.Prieto, Loidi & Penas";"Accepted";"species"
1167;"Cytisus scoparius";"Cytisus scoparius";"(L.) Link";"Cytisus scoparius";"(L.) Link";"Accepted";"species"
4104;"Cytisus spp.";"Cytisus";;"Cytisus";"Desf.";"Accepted";"genus"
1189;"Cytisus striatus";"Cytisus striatus";"(Hill) Rothm.";"Cytisus striatus";"(Hill) Rothm.";"Accepted";"species"
1191;"Cytisus tribracteolatus";"Cytisus tribracteolatus";;"Genista tribracteolata";"(Webb) Pau";"Accepted";"species"
1190;"Cytisus villosus";"Cytisus villosus";"Pourr.";"Cytisus villosus";"Pourr.";"Accepted";"species"
120;"Daboecia cantabrica";"Daboecia cantabrica";"(Huds.) K.Koch";"Daboecia cantabrica";"(Huds.) K.Koch";"Accepted";"species"
1110;"Daphne gnidium";"Daphne gnidium";"L.";"Daphne gnidium";"L.";"Accepted";"species"
2110;"Daphne laureola";"Daphne laureola";"L.";"Daphne laureola";"L.";"Accepted";"species"
3110;"Daphne mezereum";"Daphne mezereum";"L.";"Daphne mezereum";"L.";"Accepted";"species"
110;"Daphne spp.";"Daphne";;"Daphne";"L.";"Accepted";"genus"
178;"Dittrichia viscosa";"Dittrichia viscosa";"(L.) Greuter";"Dittrichia viscosa";"(L.) Greuter";"Accepted";"species"
1154;"Dorycnium hirsutum";"Dorycnium hirsutum";"(L.) Ser. in DC.";"Lotus hirsutus";"L.";"Accepted";"species"
154;"Dorycnium pentaphyllum";"Dorycnium pentaphyllum";"Scop.";"Lotus dorycnium";"L.";"Accepted";"species"
7104;"Dorycnium spp.";"Dorycnium";;"Lotus";"L.";"Accepted";"genus"
569;"Dracaena draco";"Dracaena draco";"L.";"Dracaena draco";"(L.) L.";"Accepted";"species"
569;"Dracaena drago";"Dracaena drago";;"Dracaena draco";"(L.) L.";"Accepted";"species"
1177;"Echinospartum boissieri";"Echinospartum boissieri";"(Spach) Rothm.";"Echinospartum boissieri";"(Spach) Rothm.";"Accepted";"species"
177;"Echinospartum spp.";"Echinospartum";;"Echinospartum";"(Spach) Fourr.";"Accepted";"genus"
161;"Echium spp.";"Echium";;"Echium";"L.";"Accepted";"genus"
1173;"Ephedra fragilis";"Ephedra fragilis";"Desf.";"Ephedra fragilis";"Desf.";"Accepted";"species"
173;"Ephedra spp.";"Ephedra";;"Ephedra";"L.";"Accepted";"genus"
83;"Erica arborea";"Erica arborea";"L.";"Erica arborea";"L.";"Accepted";"species"
1102;"Erica arborea";"Erica arborea";"L.";"Erica arborea";"L.";"Accepted";"species"
2102;"Erica australis";"Erica australis";"L.";"Erica australis";"L.";"Accepted";"species"
