"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"taxonomicStatus";"taxonRank"
6700;"Colubrina verrucosa";"Colubrina verrucosa";"(Urb.) M.C. Johnst.";"Colubrina verrucosa";"(Urb.) M.C.Johnst.";"Accepted";"species"
5559;"Colutea arborescens";"Colutea arborescens";"L.";"Colutea arborescens";"L.";"Accepted";"species"
6702;"Combretum tetralophum";"Combretum tetralophum";"C.B. Clarke";"Combretum tetralophum";"C.B.Clarke";"Accepted";"species"
6703;"Commersonia bartramia";"Commersonia bartramia";"(L.) Merr.";"Commersonia bartramia";"(L.) Merr.";"Accepted";"species"
6705;"Comocladia dodonaea";"Comocladia dodonaea";"(L.) Urb.";"Comocladia dodonaea";"Britton";"Accepted";"species"
6706;"Comocladia glabra";"Comocladia glabra";"(Schult.) Spreng.";"Comocladia glabra";"Spreng.";"Accepted";"species"
867;"Condalia hookeri";"Condalia hookeri";"M.C. Johnst.";"Condalia hookeri";"M.C.Johnst.";"Accepted";"species"
987;"Conocarpus erectus";"Conocarpus erectus";"L.";"Conocarpus erectus";"L.";"Accepted";"species"
6709;"Conocarpus spp.";"Conocarpus";"L.";"Conocarpus";"L.";"Accepted";"genus"
6710;"Conostegia rufescens";"Conostegia rufescens";"Naud.";"Miconia conorufescens";"Michelang.";"Accepted";"species"
6711;"Consolea moniliformis";"Consolea moniliformis";"(L.) Britton";"Consolea moniliformis";"(L.) A.Berger";"Accepted";"species"
6712;"Consolea rubescens";"Consolea rubescens";"(Salm-Dyck ex DC.) Lem.";"Consolea rubescens";"(Salm-Dyck ex DC.) Lem.";"Accepted";"species"
6714;"Copaifera officinalis";"Copaifera officinalis";"(Jacq.) L.";"Copaifera officinalis";"L.";"Accepted";"species"
6716;"Coprosma foliosa";"Coprosma foliosa";"A. Gray";"Coprosma foliosa";"A.Gray";"Accepted";"species"
6717;"Coprosma kauensis";"Coprosma kauensis";"(A. Gray) A. Heller";"Coprosma kauensis";"A.Heller";"Accepted";"species"
6718;"Coprosma longifolia";"Coprosma longifolia";"A. Gray";"Coprosma longifolia";"A.Gray";"Accepted";"species"
6719;"Coprosma montana";"Coprosma montana";"Hillebr.";"Coprosma montana";"Hillebr.";"Accepted";"species"
6720;"Coprosma ochracea";"Coprosma ochracea";"W.R.B. Oliv.";"Coprosma ochracea";"W.R.B.Oliv.";"Accepted";"species"
6721;"Coprosma pubens";"Coprosma pubens";"A. Gray";"Coprosma pubens";"A.Gray";"Accepted";"species"
6722;"Coprosma rhynchocarpa";"Coprosma rhynchocarpa";"A. Gray";"Coprosma rhynchocarpa";"A.Gray";"Accepted";"species"
6724;"Coprosma spp.";"Coprosma";"J.R. Forst. & G. Forst.";"Coprosma";"J.R.Forst. & G.Forst.";"Accepted";"genus"
6726;"Coprosma waimeae";"Coprosma waimeae";"Wawra";"Coprosma waimeae";"Wawra";"Accepted";"species"
6728;"Cordia alliodora";"Cordia alliodora";"(Ruiz & Pav.) Oken";"Cordia alliodora";"(Ruiz & Pav.) Oken";"Accepted";"species"
6729;"Cordia aspera";"Cordia aspera";;"Cordia aspera";"G.Forst.";"Accepted";"species"
8651;"Cordia boissieri";"Cordia boissieri";"A. DC.";"Cordia boissieri";"A.DC.";"Accepted";"species"
6730;"Cordia borinquensis";"Cordia borinquensis";"Urb.";"Cordia borinquensis";"Urb.";"Accepted";"species"
6731;"Cordia collococca";"Cordia collococca";"L.";"Cordia collococca";"L.";"Accepted";"species"
6733;"Cordia dichotoma";"Cordia dichotoma";"G. Forst.";"Cordia dichotoma";"G.Forst.";"Accepted";"species"
6735;"Cordia laevigata";"Cordia laevigata";"Lam.";"Cordia laevigata";"Lam.";"Accepted";"species"
6736;"Cordia micronesica";"Cordia micronesica";"Kaneh. & Hatus.";"Cordia micronesica";"Kaneh. & Hatus.";"Accepted";"species"
6737;"Cordia obliqua";"Cordia obliqua";"Willd.";"Cordia dichotoma";"G.Forst.";"Accepted";"species"
6738;"Cordia rickseckeri";"Cordia rickseckeri";"Millsp.";"Cordia rickseckeri";"Millsp.";"Accepted";"species"
6739;"Cordia rupicola";"Cordia rupicola";"Urb.";"Varronia rupicola";"Britton";"Accepted";"species"
865;"Cordia sebestena";"Cordia sebestena";"L.";"Cordia sebestena";"L.";"Accepted";"species"
6741;"Cordia spp.";"Cordia";"L.";"Cordia";"L.";"Accepted";"genus"
6742;"Cordia subcordata";"Cordia subcordata";"Lam.";"Cordia subcordata";"Lam.";"Accepted";"species"
6743;"Cordia sulcata";"Cordia sulcata";"DC.";"Cordia sulcata";"DC.";"Accepted";"species"
6744;"Cordyline fruticosa";"Cordyline fruticosa";"(L.) A. Chev";"Cordyline fruticosa";"(L.) A.Chev.";"Accepted";"species"
6745;"Cordyline spp.";"Cordyline";"Comm. ex R. Br.";"Cordyline";"Comm. ex R.Br.";"Accepted";"genus"
6748;"Cornus drummondii";"Cornus drummondii";"C.A. Mey.";"Cornus drummondii";"C.A.Mey.";"Accepted";"species"
491;"Cornus florida";"Cornus florida";"L.";"Cornus florida";"L.";"Accepted";"species"
5591;"Cornus kousa";"Cornus kousa";"Hance";"Cornus kousa";"Bürger ex Hance";"Accepted";"species"
492;"Cornus nuttallii";"Cornus nuttallii";"Audubon ex Torr. & A. Gray";"Cornus nuttallii";"Audubon ex Torr. & A.Gray";"Accepted";"species"
490;"Cornus spp.";"Cornus";"L.";"Cornus";"L.";"Accepted";"genus"
6746;"Cornutia obovata";"Cornutia obovata";"Urb.";"Cornutia obovata";"Urb.";"Accepted";"species"
6747;"Cornutia pyramidata";"Cornutia pyramidata";"L.";"Cornutia pyramidata";"L.";"Accepted";"species"
5599;"Corylus americana";"Corylus americana";"Walter";"Corylus americana";"Walter";"Accepted";"species"
5600;"Corylus colurna";"Corylus colurna";"L.";"Corylus colurna";"L.";"Accepted";"species"
6749;"Corymbia calophylla";"Corymbia calophylla";"(Lindl.) K.D. Hill & L.A.S. Johnson";"Corymbia calophylla";"(Lindl.) K.D.Hill & L.A.S.Johnson";"Accepted";"species"
6750;"Corymbia citriodora";"Corymbia citriodora";"(Hook.) K.D. Hill & L.A.S. Johnson";"Corymbia citriodora";"(Hook.) K.D.Hill & L.A.S.Johnson";"Accepted";"species"
6751;"Corymbia ficifolia";"Corymbia ficifolia";"(F. Muell.) K.D. Hill & L.A.S. Johnson";"Corymbia ficifolia";"(F.Muell.) K.D.Hill & L.A.S.Johnson";"Accepted";"species"
6752;"Corymbia gummifera";"Corymbia gummifera";"(Sol. ex Gaertn.) K.D. Hill & L.A.S. Johnson";"Corymbia gummifera";"(Gaertn.) K.D.Hill & L.A.S.Johnson";"Accepted";"species"
6754;"Corynocarpus laevigatus";"Corynocarpus laevigatus";"J.R. Forst. & G. Forst.";"Corynocarpus laevigatus";"J.R.Forst. & G.Forst.";"Accepted";"species"
6755;"Corynocarpus spp.";"Corynocarpus";"J.R. Forst. & G. Forst.";"Corynocarpus";"J.R.Forst. & G.Forst.";"Accepted";"genus"
5603;"Cotinus coggygria";"Cotinus coggygria";"Scop.";"Cotinus coggygria";"Scop.";"Accepted";"species"
996;"Cotinus obovatus";"Cotinus obovatus";"Raf.";"Cotinus obovatus";"Raf.";"Accepted";"species"
6756;"Couroupita guianensis";"Couroupita guianensis";"Aubl.";"Couroupita guianensis";"Aubl.";"Accepted";"species"
503;"Crataegus brainerdii";"Crataegus brainerdii";"Sarg.";"Crataegus brainerdii";"Sarg.";"Accepted";"species"
504;"Crataegus calpodendron";"Crataegus calpodendron";"(Ehrh.) Medik.";"Crataegus calpodendron";"(Ehrh.) Medik.";"Accepted";"species"
505;"Crataegus chrysocarpa";"Crataegus chrysocarpa";"Ashe";"Crataegus chrysocarpa";"Ashe";"Accepted";"species"
501;"Crataegus crus-galli";"Crataegus crus-galli";"L.";"Crataegus crus-galli";"L.";"Accepted";"species"
506;"Crataegus dilatata";"Crataegus dilatata";"Sarg.";"Crataegus dilatata";"Sarg.";"Accepted";"species"
507;"Crataegus flabellata";"Crataegus flabellata";"(Bosc ex Spach) K. Koch";"Crataegus flabellata";"(Bosc ex Spach) K.Koch";"Accepted";"species"
502;"Crataegus mollis";"Crataegus mollis";"Scheele";"Crataegus mollis";"(Torr. & A.Gray) Scheele";"Accepted";"species"
508;"Crataegus monogyna";"Crataegus monogyna";"Jacq.";"Crataegus monogyna";"Jacq.";"Accepted";"species"
509;"Crataegus pedicellata";"Crataegus pedicellata";"Sarg.";"Crataegus pedicellata";"Sarg.";"Accepted";"species"
5091;"Crataegus phaenopyrum";"Crataegus phaenopyrum";"(L. f.) Medik.";"Crataegus phaenopyrum";"(L.f.) Medik.";"Accepted";"species"
500;"Crataegus spp.";"Crataegus";"L.";"Crataegus";"L.";"Accepted";"genus"
5092;"Crataegus succulenta";"Crataegus succulenta";"Schrad. ex Link";"Crataegus succulenta";"Schrad. ex Link";"Accepted";"species"
5093;"Crataegus uniflora";"Crataegus uniflora";"Münchh.";"Crataegus uniflora";"Münchh.";"Accepted";"species"
6758;"Crateva religiosa";"Crateva religiosa";"G. Forst.";"Crateva religiosa";"G.Forst.";"Accepted";"species"
6760;"Crescentia alata";"Crescentia alata";"Kunth";"Crescentia alata";"Kunth";"Accepted";"species"
6761;"Crescentia cujete";"Crescentia cujete";"L.";"Crescentia cujete";"L.";"Accepted";"species"
6762;"Crescentia linearifolia";"Crescentia linearifolia";"Miers";"Crescentia linearifolia";"Miers";"Accepted";"species"
6763;"Crescentia portoricensis";"Crescentia portoricensis";"Britton";"Crescentia portoricensis";"Britton";"Accepted";"species"
6765;"Critonia portoricensis";"Critonia portoricensis";"(Urb.) Britton & P. Wilson";"Critonia portoricensis";"Britton & P.Wilson";"Accepted";"species"
6767;"Crossopetalum rhacoma";"Crossopetalum rhacoma";"Crantz";"Crossopetalum rhacoma";"Crantz";"Accepted";"species"
6769;"Crossostylis biflora";"Crossostylis biflora";;"Crossostylis biflora";"J.R.Forst. & G.Forst.";"Accepted";"species"
6771;"Crotalaria longirostrata";"Crotalaria longirostrata";"Hook. & Arn.";"Crotalaria longirostrata";"Hook. & Arn.";"Accepted";"species"
6773;"Croton astroites";"Croton astroites";"Dryand.";"Croton astroites";"Aiton";"Accepted";"species"
6774;"Croton flavens";"Croton flavens";"L.";"Croton flavens";"L.";"Accepted";"species"
6775;"Croton poecilanthus";"Croton poecilanthus";"Urb.";"Croton poecilanthus";"Urb.";"Accepted";"species"
6772;"Croton spp.";"Croton";"L.";"Croton";"L.";"Accepted";"genus"
6779;"Cryptocarya elegans";"Cryptocarya elegans";;"Cryptocarya elegans";"(Reinecke) A.C.Sm.";"Accepted";"species"
