"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"family";"genus";"specificEpithet";"taxonRank"
1102;"Erica arborea";"Erica arborea";"L.";"Erica arborea";"L.";"Ericaceae";"Erica";"arborea";"species"
2102;"Erica australis";"Erica australis";"L.";"Erica australis";"L.";"Ericaceae";"Erica";"australis";"species"
8102;"Erica ciliaris";"Erica ciliaris";"Loefl. ex L.";"Erica ciliaris";"L.";"Ericaceae";"Erica";"ciliaris";"species"
5102;"Erica cinerea";"Erica cinerea";"L.";"Erica cinerea";"L.";"Ericaceae";"Erica";"cinerea";"species"
9102;"Erica erigena";"Erica erigena";"R.Ross";"Erica erigena";"R.Ross";"Ericaceae";"Erica";"erigena";"species"
4102;"Erica multiflora";"Erica multiflora";"L.";"Erica multiflora";"L.";"Ericaceae";"Erica";"multiflora";"species"
283;"Erica scoparia";"Erica scoparia";"L.";"Erica scoparia";"L.";"Ericaceae";"Erica";"scoparia";"species"
6102;"Erica scoparia";"Erica scoparia";"L.";"Erica scoparia";"L.";"Ericaceae";"Erica";"scoparia";"species"
102;"Erica spp.";"Erica";;"Erica";"L.";"Ericaceae";"Erica";;"genus"
1202;"Erica tetralix";"Erica tetralix";"L.";"Erica tetralix";"L.";"Ericaceae";"Erica";"tetralix";"species"
7102;"Erica umbellata";"Erica umbellata";"Loefl. ex L.";"Erica umbellata";"L.";"Ericaceae";"Erica";"umbellata";"species"
3102;"Erica vagans";"Erica vagans";"L.";"Erica vagans";"L.";"Ericaceae";"Erica";"vagans";"species"
1166;"Erinacea anthyllis";"Erinacea anthyllis";"Link";"Erinacea anthyllis";"Link";"Fabaceae";"Erinacea";"anthyllis";"species"
1104;"Erinacea spp.";"Erinacea";;"Erinacea";"Tourn. ex Adans.";"Fabaceae";"Erinacea";;"genus"
62;"Eucalyptus camaldulensis";"Eucalyptus camaldulensis";"Dehnh.";"Eucalyptus camaldulensis";"Dehnh.";"Myrtaceae";"Eucalyptus";"camaldulensis";"species"
61;"Eucalyptus globulus";"Eucalyptus globulus";"Labill.";"Eucalyptus globulus";"Labill.";"Myrtaceae";"Eucalyptus";"globulus";"species"
364;"Eucalyptus gomphocephalus";"Eucalyptus gomphocephalus";;"Eucalyptus gomphocephala";"DC.";"Myrtaceae";"Eucalyptus";"gomphocephala";"species"
