"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"family";"genus";"specificEpithet";"taxonRank"
10103;"Adenocarpus telonensis";"Adenocarpus telonensis";"(Loisel.) DC. in Lam. & DC.";"Adenocarpus telonensis";"(Loisel.) DC.";"Fabaceae";"Adenocarpus";"telonensis";"species"
11;"Ailanthus altissima";"Ailanthus altissima";"(Mill.) Swingle";"Ailanthus altissima";"(Mill.) Swingle";"Simaroubaceae";"Ailanthus";"altissima";"species"
54;"Alnus glutinosa";"Alnus glutinosa";"(L.) Gaertn.";"Alnus glutinosa";"(L.) Gaertn.";"Betulaceae";"Alnus";"glutinosa";"species"
2;"Amelanchier ovalis";"Amelanchier ovalis";"Medik.";"Amelanchier ovalis";"Medik.";"Rosaceae";"Amelanchier";"ovalis";"species"
200;"Amelanchier ovalis";"Amelanchier ovalis";"Medik.";"Amelanchier ovalis";"Medik.";"Rosaceae";"Amelanchier";"ovalis";"species"
150;"Ampelodesmos mauritanica";"Ampelodesmos mauritanica";;"Ampelodesmos mauritanicus";"(Poir.) T.Durand & Schinz";"Poaceae";"Ampelodesmos";"mauritanicus";"species"
1175;"Anagyris foetida";"Anagyris foetida";"L.";"Anagyris foetida";"L.";"Fabaceae";"Anagyris";"foetida";"species"
175;"Anagyris spp.";"Anagyris";;"Anagyris";"L.";"Fabaceae";"Anagyris";;"genus"
125;"Anthyllis cytisoides";"Anthyllis cytisoides";"L.";"Anthyllis cytisoides";"L.";"Fabaceae";"Anthyllis";"cytisoides";"species"
169;"Aphyllanthes monspeliensis";"Aphyllanthes monspeliensis";"L.";"Aphyllanthes monspeliensis";"L.";"Asparagaceae";"Aphyllanthes";"monspeliensis";"species"
88;"Apollonias barbujana";"Apollonias barbujana";"(Cav.) Bornm.";"Persea barbujana";"(Cav.) Mabb. & Nieto Fel.";"Lauraceae";"Persea";"barbujana";"species"
268;"Arbutus canariensis";"Arbutus canariensis";"Veill.";"Arbutus canariensis";"Veill.";"Ericaceae";"Arbutus";"canariensis";"species"
68;"Arbutus unedo";"Arbutus unedo";"L.";"Arbutus unedo";"L.";"Ericaceae";"Arbutus";"unedo";"species"
107;"Arctostaphylos uva-ursi";"Arctostaphylos uva-ursi";"(L.) Spreng.";"Arctostaphylos uva-ursi";"(L.) Spreng.";"Ericaceae";"Arctostaphylos";"uva-ursi";"species"
3159;"Artemisia campestris";"Artemisia campestris";"L.";"Artemisia campestris";"L.";"Asteraceae";"Artemisia";"campestris";"species"
159;"Artemisia canariensis";"Artemisia canariensis";;"Artemisia thuscula";"Cav.";"Asteraceae";"Artemisia";"thuscula";"species"
1159;"Artemisia reptans";"Artemisia reptans";"C.Sm. ex Link";"Artemisia reptans";"C.Sm.";"Asteraceae";"Artemisia";"reptans";"species"
126;"Artemisia spp.";"Artemisia";;"Artemisia";"L.";"Asteraceae";"Artemisia";;"genus"
1138;"Asparagus acutifolius";"Asparagus acutifolius";"L.";"Asparagus acutifolius";"L.";"Asparagaceae";"Asparagus";"acutifolius";"species"
2138;"Asparagus albus";"Asparagus albus";"L.";"Asparagus albus";"L.";"Asparagaceae";"Asparagus";"albus";"species"
138;"Asparagus spp.";"Asparagus";;"Asparagus";"L.";"Asparagaceae";"Asparagus";;"genus"
6104;"Astragalus spp.";"Astragalus";;"Astragalus";"L.";"Fabaceae";"Astragalus";;"genus"
133;"Atriplex spp.";"Atriplex";;"Atriplex";"L.";"Amaranthaceae";"Atriplex";;"genus"
116;"Berberis vulgaris";"Berberis vulgaris";"L.";"Berberis vulgaris";"L.";"Berberidaceae";"Berberis";"vulgaris";"species"
273;"Betula alba";"Betula alba";"L.";"Betula pubescens  var. pubescens";;"Betulaceae";"Betula";"pubescens";"variety"
373;"Betula pendula";"Betula pendula";"Roth";"Betula pendula";"Roth";"Betulaceae";"Betula";"pendula";"species"
73;"Betula spp.";"Betula";;"Betula";"L.";"Betulaceae";"Betula";;"genus"
2124;"Bupleurum fruticescens";"Bupleurum fruticescens";"Loefl. ex L.";"Bupleurum fruticescens";"L.";"Apiaceae";"Bupleurum";"fruticescens";"species"
1124;"Bupleurum fruticosum";"Bupleurum fruticosum";"L.";"Bupleurum fruticosum";"L.";"Apiaceae";"Bupleurum";"fruticosum";"species"
4124;"Bupleurum gibraltaricum";"Bupleurum gibraltaricum";;"Bupleurum gibraltaricum";"Lam.";"Apiaceae";"Bupleurum";"gibraltaricum";"species"
124;"Bupleurum spp.";"Bupleurum";;"Bupleurum";"L.";"Apiaceae";"Bupleurum";;"genus"
291;"Buxus balearica";"Buxus balearica";"Lam.";"Buxus balearica";"Lam.";"Buxaceae";"Buxus";"balearica";"species"
2910;"Buxus balearica";"Buxus balearica";"Lam.";"Buxus balearica";"Lam.";"Buxaceae";"Buxus";"balearica";"species"
